GTIN,Brand,Category,Name,Weight,Ingredients,# of Ingredients,Price,Calories/Serving,Serving Size,Sugar (g),Total Fiber (g),Sodium,Protein
00030000262917,Quaker,Oatmeal,Quaker Dinosaur Eggs Brown Sugar Instant Oatmeal,"14.1 oz, 8x 1.76 oz packets","Whole grain oats, dinosaur egg shaped pieces (sugar, dextrose, hydrogenated palm kernel oil, palm kernel oil, palm oil, annatto [color], carnauba wax, confectioner's glaze, corn maltodextrin, magnesium stearate, modified corn starch, natural flavor, red radish juice [color], spirulina extract [color], sunflower lecithin, turmeric [color]), sugar, salt, natural flavor, calcium carbonate, carob powder, molasses, reduced iron, niacinamide, folic acid, cholecalciferol (vitamin D3), pyridoxine hydrochloride, riboflavin, thiamine mononitrate.",30,,190,1 portion (50 g),11,3,240,5
00079893405902,O Organics,Oatmeal,Original organic instant oatmeal,"7.9 oz, 8x, 28g",Organic rolled oats.,1,,150,1 PACKET (40 g),0,4,0,5
00079893114811,O Organics,Oatmeal,Apple cinnamon organic instant oatmeal,320g,"Organic rolled oats, organic cane sugar, organic dehydrated apples, organic ground cinnamon, sea salt, natural flavors.",6,,150,1 PACKET (40 g),12,3,85,4
810589032435,purely elizabeth.,Oatmeal,APPLE HARVEST CRUMBLE creamy & hearty PROTEIN INSTANT OATMEAL,235 g,"Organic certified gluten-free oats, organic coconut sugar, plant protein blend (pea protein, fava protein, chocho protein), chickpea flour, dried apples, organic natural flavor, organic buckwheat flour, organic quinoa flakes, cinnamon, sea salt.",12,,180,47g,8,4,90,10
810589032411,purely elizabeth.,Oatmeal,MAPLE CINNAMON ROLL INSTANT OATMEAL,47 g,"Organic certified gluten-free oats, organic coconut sugar, plant protein blend (pea protein, fava protein, chocho protein), chickpea flour, organic natural flavor, organic quinoa flakes, cinnamon, organic buckwheat flour, maple sugar, sea salt.",12,,180,47g,8,4,85,10
00072463000286,Mccann's,Oatmeal,"Mccann's, instant irish oatmeal","11.85 oz, 12, 28g","Whole grain rolled irish oats, oat flour (whole), calcium carbonate (a source of calcium), salt, guar gum, caramel color, ferric phosphate (a source of iron), niacinamide*, pyridoxine hydrochloride (vitamin b6)*, riboflavin*, vitamin a palmitate, thiamin mononitrate*, folic acid*.",13,,100,1 PACKET (28 g),0,3,80,4
00030000261903,Quaker,Oatmeal,Fiber Instant Oatmeal Maple & Brown Sugar,"12.6 oz, 8x 1.58 oz","Whole grain oats, chicory root extract, sugar, salt, natural flavor, monk fruit extract.",6,,160,1 packet (45 g),7,10,125,4
00030000579954,QUAKER,Oatmeal,FIBER INSTANT OATMEAL STRAWBERRIES & CREAM,360 g,"Whole grain oats, chicory root extract, sugar, dried strawberries (strawberries, coconut oil), natural flavors, cream, salt, skim milk.",9,,160,45g,8,10,125,4
00030000579961,Quaker,Oatmeal,"Fiber, Apples & Cinnamon Flavor, Instant Oatmeal",360g,"Whole grain oats, chicory root extract, sugar, dried apples, natural flavors, cinnamon, salt.",7,,—,1 portion (45 g),—,—,—,—
00030000570418,Quaker,Oatmeal,Protein Instant Oatmeal Maple & Brown Sugar,"12.8 oz (362 g), 6z 2.11 oz packets","Whole grain oats, sugar, whey protein concentrate, whey protein isolate, salt, natural flavor, soy lecithin",7,,220,60g,6.6,2.4,120,7.2
883921178986,Better Oats,Oatmeal,Quick Cooking Oatmeal Maple & Brown Sugar,9.8 oz (277g),"Whole grain rolled oats, flaxseed, salt, sugar, acesulfame potassium, sucralose, natural and artificial flavor, molasses, maple syrup, vitamins and minerals: calcium carbonate, ferric orthophosphate (source of iron), alpha tocopheryl acetate (vitamin e), niacinamide (vitamin b3), vitamin a palmitate, pyridoxine hydrochloride (vitamin b6), riboflavin (vitamin b2), thiamin mononitrate (vitamin b1), folic acid,",19,,100,1 pouch (28 g),0,0.84,59,1.12
00011110719188,Simple Truth Organic,Oatmeal,"Instant Oatmeal, Natural Maple & Brown Sugar",—,"ORGANIC ROLLED OATS, ORGANIC DRIED CANE SYRUP. ORGANIC TAPIOCA MALTODEXTRIN, ORGANIC CORN STARCH, ORGANIC BROWN SUGAR, NATURAL FLAVOR, GLUCOSE SYRUP, ORGANIC MOLASSES, ORGANIC CARAMEL COLOR, SEA SALT.",9,,160,40 g (40 g),12,2,142,4
0003997800480,Red mill,Oatmeal,Red mill protein oats,—,—,—,,190,48 g,1,6,0,10
00042400015932,Better Oats,Oatmeal,Steel Cut Oatmeal Original,10,"Whole Grain Steel Cut Oats, Flaxseed, Stearic Acid, Salt.",4,,1480,1 pouch (375 g),0,1,—,4
00030000315989,QUAKER,Oatmeal,PROTEIN INSTANT OATMEAL CRANBERRY ALMOND,372g,"whole grain rolled oats, sugar, whey protein concentrate, almonds, dried cranberries, whey protein isolate, salt, maltodextrin, natural flavor, rice flour, vegetable oils (sunflower, canola, safflower and/or almond oil), soy lecithin,",15,,230,1 packet (62 g),12,4,190,12
00030000578544,Quaker,Oatmeal,Quaker Instant Oatmeal Protein No Added Sugar Apples & Cinnamon,300 g (6 x 50 g),"Whole grain oats, dried apples, whey protein concentrate, whey protein isolate, cinnamon, salt, natural flavors, soy lecithin, potassium salt, stevia leaf extract, monk fruit extract.

Contains milk and soy ingredients.",11,,176,50 g,5,5,180,10
00030000317938,QUAKER,Oatmeal,GLUTEN FREE INSTANT OATMEAL MAPLE & BROWN SUGAR,"12.1 oz, 8x 1.51 oz packets","Whole grain oats, brown sugar, salt, natural flavor.",4,,160,1 packet (43 g),9,3,170,4
000705599014147,Kodiak,Oatmeal,Protein Packed Oatmeal Maple & Brown Sugar,"10.58 oz, 6x 1.76 oz packets","100% whole grain rolled oats, pea protein concentrate, tapioca starch, cane sugar, milk protein concentrate, brown sugar, maple syrup, whey protein isolate, sunflower lecithin, sea salt, natural flavors.",11,,190,1 packet (50 g),10,3,170,12
00030000568545,Quaker,Oatmeal,Instant Grits Original,—,"thiamin 0.18mg riboflavin 0.13mg niacin 1.6mg folate 60mcg dfe (36mcg folic acid) 15% 10% 10% 15% the % daily value (dv) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice. ngredients: degerminated white corn grits, salt, calcium carbonate, reduced iron, niacinamide*, bht and citric acid (to preserve reshness), thiamin mononitrate*, riboflavin*, olic acid*. one of the b vitamins.,",11,,100,1 packet (28 g),0,1,310,2
00041449056203,Albers,Oatmeal,Enriched Hominy Quick Grits,40 g,"WHITE DEGERMED GROUND CORN, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID.",6,,140,1 serving (39 g),—,2.5,—,3
00042400001041,Malt-O-Meal,Oatmeal,Quick Cooking Hot Wheat Cereal,36 oz,"Wheat farina, malted barley, calcium carbonate, ferric orthophosphate (source of iron), niacinamide (vitamin b3), pyridoxine hydrochloride (vitamin b6), folic acid, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2).",9,,130,3 tbsp (35 g),0.001,1,0,4
00013130006989,Cream of Rice,Oatmeal,Cream of Rice Hot Cereal,"14 oz, 397g","granulated rice, calcium carbonate, ferric orthophosphate, niacinamide, thiamine mononitrate, riboflavin, folic acid, cholecalciferol",8,,150,45.0g,0,0,0,2
00030000568286,Quaker,Oatmeal,Instant Oatmeal Fruit & Cream Flavor with Other Natural Flavors,"8.4 oz, 8z 1.05 oz packets","whole grain oats, sugar, dried strawberries, salt, dried cream, natural flavor, nonfat dry milk, sea salt, dried vegetable juice concentrate, tocopherols",10,,110,1 Packet (30 g),9,2,160,3
00030000568491,Quaker,Oatmeal,Instant Oatmeal Flavor Variety,"12.1 oz, 8z 1.51 oz packets","Whole grain oats, sugar, dried apples, natural flavor, salt, cinnamon",6,,160,1 packet (43 g),10,3,200,4
00030000268728,Quaker,Oatmeal,Lower Sugar Maple & Brown Sugar Instant Oatmeal,—,"whole grain oats, sugar, salt, natural flavor, monk fruit extract,",6,,120,1 PACKET (34 g),4,2.99,240,4
00030000014998,Quaker,Oatmeal,"Lower Sugar, Flavor Variety, Instant Oatmeal",—,"maple , brown sugar: whole grain rolled oats, sugar, natural and artificial flavor, salt, calcium carbonate, guar gum, caramel color, sucralose, niacinamide (one of the b vitamins), reduced iron, vitamin a palmitate, pyridoxine hydrochloride (one of the b vitamins), riboflavin (one of the b vitamins), thiamin mononitrate (one of the b vitamins), folic acid (one of the b vitamins), cinnamon , spice: whole grain rolled oats, sugar, salt, cinnamon and other spices, calcium carbonate, guar gum, caramel color, sucralose, niacinamide (one of the b vitamins), reduced iron, vitamin a palmitate, pyridoxine hydrochloride (one of the b vitamins), riboflavin (one of the b vitamins), thiamin mononitrate (one of the b vitamins), folic acid (one of the b vitamins), apples , cinnamon: whole grain rolled oats, dehydrated apples (treated with sodium sulfite to promote color retention), sugar, salt, cinnamon, calcium carbonate, natural and artificial flavor, citric acid, guar gum, sucralose, niacinamide (one of the b vitamins), reduced iron, vitamin a palmitate, pyridoxine hydrochloride (one of the b vitamins), riboflavin (one of the b vitamins), thiamin mononitrate (one of the b vitamins), folic acid (one of the b vitamins),",51,,120,1.0 packet (34.0 g),4,3,230,4
00030000010204,Quaker Oats,Oatmeal,Old Fashioned 100% Whole Grain Rolled Oats,18 oz (510 g),whole grain rolled oats.,1,,150,0.5 cup (40 g),1,4,0,5
00030000322567,Quaker Oats,Oatmeal,Quick 1-Minute Oats,18 oz,"whole grain rolled oats,",2,,150,0.5 cup dry (40 g),1,4,0,5
00030000580080,QUAKER,Oatmeal,OLD FASHIONED ROLLED OATS,16 oz,"Whole grain oats, soy protein isolate.",2,,160,42g,0,3,80,10
00039978004796,Bob's Red Mill,Oatmeal,Protein Oats,32 oz,organic whole grain oat flakes.,1,,190,1 serving (48 g),1,5,—,9
00030000040904,Quaker,Oatmeal,Grits Old Fashioned,24 oz,"Degerminated white corn grits, niacinamide, reduced iron, thiamin mononitrate, riboflavin, folic acid",6,,140,0.25 cup (41 g),—,2,—,3
705599015519,KODIAK,Oatmeal,Blueberry & Cream Protein Instant Oatmeal,"10.58 oz, 6x 1.76 oz packets","100% whole grain rolled oats, cane sugar, pea protein concentrate, tapioca starch, milk protein concentrate, whey protein isolate, sunflower lecithin, blueberries, sea salt, cream, natural flavor, citric acid.",12,,190,1 packet (50 g),10,3,210,12
0002113031568,Signature Select,Oatmeal,Signature Select Maple Brown Sugar Instant Oatmeal,"12.1 oz, 8x 1.51 oz packets","Whole Grain Rolled Oats, Sugar, Contains Less than 2% of Salt, Calcium Carbonate (a Source of Calcium), Guar Gum, Natural Flavor, Caramel Color, Ferric Orthophosphate (a Source of Iron), Vitamin A Palmitate, Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid.",,,160,1 packet,12,3,260,4
0002113031569,Signature Select,Oatmeal,Signature Select Apple Cinnamon Instant Oatmeal,"9.8 oz, 8x 1.23 oz packets","Whole Grain Rolled Oats, Sugar, Dried Apples (Treated with Sodium Sulfite to Promote Color Retention), Contains Less than 2% of Salt, Calcium Carbonate (a Source of Calcium), Cinnamon, Guar Gum, Citric Acid, Ferric Orthophosphate (a Source of Iron), Natural Flavor, Vitamin A Palmitate, Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid.",,,130,1 packet,12,3,170,3
0001111001795,Simple Truth Organic,Oatmeal,Simple Truth Organic® Maple and Brown Sugar Instant Chia Oatmeal,"14.8, 10x, 1.48 oz packets","Organic Rolled Oats, Organic Cane Sugar, Organic Ground White Chia Seeds, Organic Tapioca Maltodextrin, Organic Corn Starch, Organic Sugar, Organic Brown Sugar, Organic Maple Syrup, Natural Flavor, Glucose Syrup, Organic Caramel Color, Sea Salt.",,,160,1 packet (42g),13,3,150,4
0001111000619,Simple Truth Organic,Oatmeal,Simple Truth Organic® 100% Whole Grain Steel Cut Oats,24 oz,Organic Steel Cut Oats.,,,150,1/4 cup uncooked (40g),0,4,0,5
0001111071907,Simple Truth Organic,Oatmeal,Simple Truth Organic® Original Instant Oatmeal,"12 oz, 12, 1.0 oz packets",Organic Rolled Oats.,,,110,1 packet (28 g),0,3,0,4
0001111015485,Simple Truth Organic,Oatmeal,Simple Truth® Protein Maple Brown Sugar Instant Oatmeal,"10.58 oz, 4, 2.65 oz packets","Whole Grain Oats, Pea Protein Crisp (Pea Protein Isolate, Pea Starch, Rice Flour, Calcium Carbonate), Milk Protein Concentrate, Brown Sugar, Maple Syrup, Chia Seeds, Whey Protein Isolate, Milk Protein Isolate, Natural Flavors, Sea Salt, Monk Fruit Extract.",,,280,1 packet (75g),8,6,280,20
0003000004411,Quaker,Oatmeal,Quaker® Cheese Lovers Instant Grits,"12 oz, 12, 1 oz packets","American Cheese: Degerminated White Corn Grits, Salt, Palm Oil, Corn Syrup Solids, Calcium Carbonate, Coconut Oil, Maltodextrin, Natural Flavor, Modified Food Starch, Whey, Cheddar Cheese (Milk, Cultures, Salt, Enzymes), Yeast Extract, Annatto and Turmeric (Color), Hydrolyzed Corn Gluten, Monosodium Glutamate, Sodium Phosphate, Sodium Caseinate, Lactic Acid, Disodium Inosinate and Disodium Guanylate, Reduced Iron, Mono and Diglycerides, Potassium Phosphate, Tocopherols (to Preserve Freshness), Niacinamide*, BHT and Citric Acid (to Preserve Freshness), Riboflavin*, Thiamin Mononitrate*, Folic Acid*. *One of the B Vitamins. Cheddar Cheese: Degerminated White Corn Grits, Salt, Coconut Oil, Corn Syrup Solids, Palm Oil, Calcium Carbonate, Natural and Artificial Flavor, Maltodextrin, Modified Food Starch, Whey, Cheddar Cheese (Milk, Cultures, Salt, Enzymes), Yeast Extract, Annatto and Turmeric (Color), Hydrolyzed Corn Gluten, Monosodium Glutamate, Sodium Phosphate, Lactic Acid, Disodium Inosinate and Disodium Guanylate, Sodium Caseinate, Reduced Iron, Mono and Diglycerides, Potassium Phosphate, Tocopherols (to Preserve Freshness), Niacinamide*, BHT and Citric Acid (to Preserve Freshness), Riboflavin (Nutrient and Color)*, Thiamin Mononitrate*, Folic Acid*. *One of the B Vitamins. Three Cheese: Degerminated White Corn Grits, Whey, Salt, Romano/Cheddar/Parmesan Cheeses (Milk, Cultures, Salt, Enzymes), Palm Oil, Calcium Carbonate, Buttermilk, Corn Syrup Solids, Sodium Phosphate, Natural Flavor, Sodium Caseinate, Annatto (Color), Lactic Acid, Reduced Iron, Mono and Diglycerides, Potassium Phosphate, Tocopherols (to Preserve Freshness), Niacinamide*, BHT and Citric Acid (to Preserve Freshness), Thiamin Mononitrate*, Riboflavin*, Folic Acid*. *One of the B Vitamins.",,,100,1 packet (28 g),0,1,470,2
01313006053,Cream of Wheat,Oatmeal,Cream of Wheat Maple Brown Sugar Instant Packets (10pk),"12.3 oz, 10, 1.23 oz","WHEAT FARINA, SUGAR, CALCIUM CARBONATE, NATURAL FLAVORS, GUAR GUM, SALT, DEFATTED WHEAT GERM, DRY MOLASSES, FERRIC ORTHOPHOSPHATE, CARAMEL COLOR, VITAMIN A PALMITATE, NIACIN, CHOLECALCIFEROL, RIBOFLAVIN, PYRIDOXINE HYDROCHLORIDE, THIAMINE MONONITRATE, FOLIC ACID, BHT (TO PRESERVE FRESHNESS).",,,130,1 packet (35 g),13,1,140,2
1313000612,Cream of Wheat,Oatmeal,Cream of Wheat Original 2 1/2- Minute,"28 oz, 794g","WHEAT FARINA, CALCIUM CARBONATE, DEFATTED WHEAT GERM, DISODIUM PHOSPHATE, FERRIC ORTHOPHOSPHATE, NIACINAMIDE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID.",,,120,3 tbsp (33g),0,1,100,3
0081815801219,Kretschmer,,Kretschmer® Original Toasted Wheat Germ,12 oz,"Wheat Germ, Vitamin E Acetate (D-l-alpha-tocopheryl Acetate), Vitamin A Palmitate, Folic Acid.",,,60,2 tpsp,0,2,0,4
0001111015483,Simple Truth Organic,,Simple Truth® Protein Berries and Cream Instant Oatmeal,"10.58 oz, 4x, 2.65 oz","Whole Grain Oats, Pea Protein Crisp (Pea Protein Isolate, Pea Starch, Rice Flour, Calcium Carbonate), Cane Sugar, Milk Protein Concentrate, Chia Seeds, Whey Protein Isolate, Berry Blend (Freeze-Dried Strawberries, Freeze-Dried Cranberry Powder), Milk Protein Isolate, Natural Flavors, Sea Salt, Powdered Cream, Monk Fruit Extract.",,,280,1 packet (75g),8,7,280,20
0003000031505,Quaker,,Quaker® Instant Oatmeal Variety Pack (20 count),,,,,,,,,,
0003000031505,Quaker,,Quaker® Instant Oatmeal Variety Pack (20 count),,,,,,,,,,
0003000056833,Quaker,,Quaker Instant Oatmeal Strawberries & Cream (20 count),,,,,,,,,,
00000021130073979,Lucerne,Yogurt,Plain Nonfat Yogurt,227 g,"NONFAT MILK, MODIFIED CORN STARCH, PECTIN, CARRAGEENAN, TRICALCIUM PHOSPHATE, VITAMIN D3",6,,90,1 serving (170 g),9,0,120,7
00000036632002020,Dannon,Yogurt,"Plain, Whole Milk Yogurt",32oz,"Cultured grade a reduced fat milk, food starch.",2,,151,1 cup (225 g),16,0,151,11
00000036632002105,Dannon,Yogurt,Whole Milk Vanilla Yogurt,32 oz,"Cultured grade a reduced fat milk, cane sugar, natural flavors, pectin.",4,,209,1 cup (225 g),34,0,140,9.99
00000051933342897,Coburn Farms,Yogurt,Plain Lowfat Yogurt,—,"Cultured pasteurized grade a low fat milk, whey protein concentrate, cultured skim milk (to maintain freshness), pectin, calcium chloride",5,,150,1 cup (227 g),17,0,200,11
00000052159000066,Stonyfield Organic,Yogurt,Plain Nonfat Yogurt,—,"Cultured pasteurized organic nonfat milk, pectin, vitamin d3. contains six live active cultures: s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, l. casei and l. rhamnosus.",7,,70,1 serving (170 g),7,—,120,7
00000052159005207,Stonyfield Organic,Yogurt,Vanilla Lowfat Yogurt,—,"Cultured pasteurized organic low fat milk, organic sugar, organic natural vanilla flavor, pectin, vitamin d3. contains six live active cultures: s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, l. casei and l. rhamnosus.",9,,120,1 portion (170 g),16,0,95,6
00000052159050009,Stonyfield Organic,Yogurt,Lowfat Plain Yogurt,32 oz,"Cultured pasteurized organic low fat milk, pectin, vitamin d3. contains six live active cultures: s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, l. casei and l. rhamnosus.",7,,80,0.75 cup (170 g),7,0,105,7
00000070470004303,Yoplait,Yogurt,Yoplait original smooth style strawberry,32 oz,"Cultured Grade A Low Fat Milk, Sugar, Modified Corn Starch, Contains 1% less or less of: Corn Starch, Citric Acid, Vegetable Juice (for color), Natural Flavor, Potassium Sorbate Added to Maintain Freshness, Vitamin A Acetate, Vitamin D3.",10,,130,170 g,22,0,80,5
00000070470004396,Yoplait,Yogurt,Vanilla Yoplait Original Smooth Style Yogurt,—,"pasteurized grade a low fat milk, sugar, modified corn starch, contains 1% or less of: kosher gelatin, natural flavor, potassium sorbate added to maintain freshness, yogurt cultures (l, bulgaricus, s, thermophilus, l, acidophilus), vitamin a acetate, vitamin d3,",15,,150,1 serving (170 g),21,—,75,5
00000070470290614,"Yoplait, Kroger",Yogurt,Yoplait Lowfat Yogurt Orig Peach 32 Oz ,—,"Pasteurized grade a low fat milk, sugar, modified corn starch. contains 1% or less of: kosher gelatin, citric acid, natural flavor, potassium sorbate added to maintain freshness, annatto extract (for color), yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), vitamin a acetate, vitamin d3.",12,,150,0.667 cup (170 g),21,—,75,5
00000070470290621,Yoplait original,Yogurt,"Yoplait Lowfat Yogurt Orig 
Strawberry/Banana 32 Oz",32 oz,"Pasteurized grade a low fat milk, sugar, modified corn starch. contains 1% or less of: kosher gelatin, citric acid, natural flavor, potassium sorbate added to maintain freshness, colored with carmine, yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), vitamin a acetate, vitamin d3.",12,,130,1 serving (170 g),21,—,75,5
00000070038600589,—,Yogurt,Best Choice Non-Fat Plain Yogurt 32 Oz,—,"Cultured pasteurized grade a nonfat milk, carrageenan, pectin, potassium sorbate to maintain freshness.",4,,111,8 ONZ (227 g),6.99,0.908,150,10
00000070038600596,Best Choice,Yogurt,"Best Choice Low Fat Vanilla Yogurt 32 
Oz",—,"Cultured pasteurized grade a reduced fat milk, sugar, modified food starch, natural flavors, carrageenan, pectin and citric acid.",6,,187,8 ONZ (227 g),24,0,134,8.01
00000078742021393,Great Value,Yogurt,"Great Value Low Fat Strawberry 
Banana Yogurt 32 Oz",32 oz,"Cultured grade a low fat milk, sugar, strawberries, fructose, water, modified food starch, contains less than 1% of modified corn starch, banana puree, kosher gelatin, natural flavor, annatto extract (for color), red 40, carrageenan, malic acid, potassium sorbate (to maintain freshness), sodium citrate, vitamin a palmitate, vitamin d3.",18,,130,1 serving (170 g),18,0,99,6
00000078742034997,Great Value,Yogurt,"Great Value Low Fat Peach Yogurt 32 
Oz
",32 oz,"Cultured grade a low fat milk, sugar, water, fructose, peaches, modified food starch, contains less than 1% of modified corn starch, kosher gelatin, natural flavor, carrageenan, annatto extract (for color), malic acid, potassium sorbate (to maintain freshness), sodium citrate, vitamin a palmitate, vitamin d3. contains active yogurt cultures including l. acidophilus.",16,,189,1 cup (225 g),33,0,99,6.01
070470137766,Yoplait,Yogurt,Yoplait Go-Gurt Berry/Cherry Yogurt 16 Count,—,"berry bash : cultured pasteurized grade a low fat milk, sugar, modified corn starch, contains 1% or less of: kosher gelatin, tricalcium phosphate, vegetable and fruit juice (for color), potassium sorbate added to maintain freshness, carrageenan, natural flavor, vitamin a acetate, vitamin d3, cowabunga cherry : cultured pasteurized grade a low fat milk, sugar, modified corn starch, contains 1% or less of: kosher gelatin, tricalcium phosphate, vegetable juice (for color), natural flavor, potassium sorbate added to maintain freshness, carrageenan, vitamin a acetate, vitamin d3,",23,,50,1 tube (56 g) (56 g),8,0,30,2
070470138763,Yoplait,Yogurt,YQ by Yoplait Blueberry Yogurt-Made with Cultured Ultra-Filtered Milk,150g,"Pasteurized grade a ultra-filtered milk, blueberries, cane sugar, pectin, black carrot juice (for color), natural flavor, yogurt cultures (l. bulgaricus, s. thermophilus).",8,,123,1 container (150 g) (150 g),9,0,26,15
070470400211,—,Yogurt,Yoplait Greek 100 Whips! Strawberry Fat Free Yogurt Mousse,—,"Fat free yogurt (pasteurized grade a nonfat milk, kosher gelatin, lactic acid esters of mono and diglycerides, citric acid, malic acid, yogurt cultures [l. bulgaricus, s. thermophilus], natural flavor, acesulfame potassium, sucralose), fruit blend (fructose, strawberry puree, water, modified corn starch, vegetable juice and beta carotene [for color], potassium sorbate added to maintain freshness, vitamin a acetate, vitamin d3), nitrogen.",19,,99,1 container (113 g) (113 g),12,0,50,8.99
070470496528,Yoplait,Yogurt,Oui by Yoplait Coconut Flavored French style yogurt,5 oz,"Pasteurized grade a milk, cane sugar, coconut, creamed coconut, pectin, natural flavor, yogurt cultures (l. bulgaricus, s. thermophilus).",8,,171,1 CONTAINER (141 g),15,0,75,5.01
070470496610,Oui by Yoplait,Yogurt,Oui by Yoplait Coconut Flavored French style yogurt 4 pk/5 oz jars,4 pack/ 5 oz jars,"Pasteurized grade a milk, cane sugar, vanilla extract, yogurt cultures (l. bulgaricus, s. thermophilus), natural flavor.",6,,180,1 JAR (141 g),15,0,76,5.01
070470003009,Yoplait,Yogurt,Original Low Fat Yogurt- Strawberry ,6oz (170g),"Pasteurized grade a reduced fat milk, sugar, strawberries, modified corn starch, kosher gelatin, natural flavor, pectin, colored with carmine, yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), vitamin a acetate, vitamin d3.",13,,140,1 portion (170 g),18,—,85,5
070470003078,Yoplait,Yogurt,Original Low Fat Yogurt- Harvest Peach,170 g,"Pasteurized grade a reduced fat milk, sugar, peaches, modified corn starch, kosher gelatin, natural flavor, pectin, colored with annatto extract, yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), vitamin a acetate, vitamin d3.",13,,140,1 container (170 g),20,0,53,5
