"GTIN","Brand","Category","Name","Weight","Calories/Serving","Serving Size","Sugar (g)","Total Fiber (g)","Sodium","Protein","# of Ingredients","Price"
"99482450281","Whole Foods","Nut & Seed Butters",NA,"",625,"2 Tbsp",3.12,6.2,406,21.88,NA,NA
"11110869654","Kroger","Canned & Bottled Beans",NA,"",69,"1/2 cup",0.77,6.2,338,4.62,NA,NA
"99482451363","Whole Foods","Milk",NA,"",333,"2 Tbsp",56.41,0,115,7.69,NA,NA
"99482450274","Whole Foods","Nut & Seed Butters",NA,"",625,"2 Tbsp",6.25,6.2,328,21.88,NA,NA
"99482450298","Whole Foods","Nut & Seed Butters",NA,"",625,"2 Tbsp",3.12,9.4,0,25,NA,NA
"21130337484","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",141,"1 BOWL",2.01,2,604,5.37,NA,NA
"21130336746","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",215,"1 BOWL",8.15,2.2,311,7.41,NA,NA
"21130285372","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",47,"2 1/2 cup",2.35,3.5,35,4.71,NA,NA
"21130336715","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",153,"1 BOWL",2.26,1.1,271,5.65,NA,NA
"99482455804","Whole Foods","Canned & Bottled Beans",NA,"",77,"1/2 cup",0.77,6.2,4,5.38,NA,NA
"11110372666","Kroger","Pre-Packaged Fruit & Vegetables",NA,"",325,"3 PIECES",30,7.5,0,2.5,NA,NA
"21130983353","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",35,"3 ONZ",4.71,3.5,76,1.18,NA,NA
"21130983476","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",41,"1 cup",3.53,2.4,0,2.35,NA,NA
"11110455901","Kroger","Yogurt","Lite nonfat yogurt","",44,"1 cup",5.29,0.4,59,3.96,NA,NA
"99482419912","Whole Foods","Cereal","365 everyday value, organic quick oats","",375,"1/2 cup",2.5,10,0,12.5,NA,NA
"99482431013","Whole Foods","Cereal","Cinnamon & spice instant oatmeal, cinnamon & spice","",375,"1.41 ONZ",32.5,7.5,225,10,NA,NA
"99482431037","Whole Foods","Cereal",NA,"",375,"1/4 cup",2.5,10,0,12.5,NA,NA
"99482454425","Whole Foods","Snack, Energy & Granola Bars",NA,"",371,"1 BAR",31.43,5.7,229,5.71,NA,NA
"99482419875","Whole Foods","Cereal","Instant Oatmeal","",375,"1.41 ONZ",32.5,7.5,225,10,NA,NA
"11110480521","Kroger","Yogurt","Kroger, cultured dairy blend, cherry","",35,"6 ONZ",1.76,0,56,5.29,NA,NA
"99482413767","Whole Foods","Milk",NA,"",67,"1 cup",5,0,52,3.33,NA,NA
"99482413781","Whole Foods","Milk",NA,"",50,"1 cup",6.25,0,67,4.17,NA,NA
"99482413774","Whole Foods","Milk",NA,"",58,"1 cup",5.42,0,58,4.17,NA,NA
"99482418014","Whole Foods","Snack, Energy & Granola Bars",NA,"",333,"1 BAR",55.56,11.1,56,0,NA,NA
"99482421380","Whole Foods","Breads & Buns",NA,"",500,"5 CROUTONS",0,0,1000,0,NA,NA
"99482430054","Whole Foods","Milk",NA,"",62,"1 cup",5,0,54,3.33,NA,NA
"99482430061","Whole Foods","Milk",NA,"",62,"1 cup",5,0,54,3.33,NA,NA
"99482430078","Whole Foods","Milk",NA,"",62,"1 cup",5,0,54,3.33,NA,NA
"99482430085","Whole Foods","Milk",NA,"",54,"1 cup",5,0,54,3.33,NA,NA
"99482430092","Whole Foods","Milk",NA,"",54,"1 cup",5,0,54,3.33,NA,NA
"99482430108","Whole Foods","Milk",NA,"",54,"1 cup",5,0,54,3.33,NA,NA
"99482430115","Whole Foods","Milk",NA,"",42,"1 cup",5,0,54,3.33,NA,NA
"99482430146","Whole Foods","Milk",NA,"",33,"1 cup",5,0,54,3.33,NA,NA
"99482430177","Whole Foods","Milk",NA,"",62,"1 cup",5,0,44,3.33,NA,NA
"99482430191","Whole Foods","Milk",NA,"",62,"1 cup",5,0,44,3.33,NA,NA
"99482430214","Whole Foods","Milk",NA,"",50,"1 cup",5,0,48,3.33,NA,NA
"99482430245","Whole Foods","Milk",NA,"",42,"1 cup",5,0,44,3.33,NA,NA
"99482430269","Whole Foods","Milk",NA,"",33,"1 cup",5,0,42,3.33,NA,NA
"99482430962","Whole Foods","Breads & Buns",NA,"",233,"1 SLICE",4.65,4.7,419,6.98,NA,NA
"99482434854","Whole Foods","Milk",NA,"",54,"1 cup",5,0,54,3.33,NA,NA
"99482437831","Whole Foods","Milk",NA,"",62,"1 cup",5,0,44,3.33,NA,NA
"99482437848","Whole Foods","Milk",NA,"",50,"1 cup",5,0,48,3.33,NA,NA
"99482439002","Whole Foods","Cereal","Organic Corn Flakes","",385,"1.25 cup",7.69,0,295,7.69,NA,NA
"99482440800","Whole Foods","Milk",NA,"",50,"1 cup",5.42,0,44,3.33,NA,NA
"99482443825","Whole Foods","Cereal","Plant-Strong, Rip's Big Bowl - Original Cereal","",383,"2/3 cup",10,10,92,11.67,NA,NA
"99482446789","Whole Foods","Yogurt","Whole Milk Yogurt Plain","",71,"3/4 cup",4.12,0,53,3.53,NA,NA
"99482446802","Whole Foods","Yogurt","Grade a unsweetened plain lowfat yogurt, plain","",53,"3/4 cup",5.29,0,62,4.12,NA,NA
"99482449537","Whole Foods","Breads & Buns",NA,"",245,"1 bun",3.77,1.9,434,7.55,NA,NA
"99482449582","Whole Foods","Breads & Buns",NA,"",169,"1 muffin",1.41,4.2,380,9.86,NA,NA
"99482452230","Whole Foods","Canned & Bottled Beans",NA,"",77,"1/2 cup",0.77,5.4,369,4.62,NA,NA
"99482452711","Whole Foods","Canned & Bottled Beans",NA,"",92,"1/2 cup",0,4.6,69,5.38,NA,NA
"99482452742","Whole Foods","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,6.9,65,5.38,NA,NA
"99482452957","Whole Foods","Cereal","Rainbow Morning O'S Cereal","",350,"1 1/4 cup",27.5,5,275,7.5,NA,NA
"99482455859","Whole Foods","Breads & Buns",NA,"",250,"1 slice",5,7.5,350,12.5,NA,NA
"99482455866","Whole Foods","Breads & Buns",NA,"",275,"1 slice",7.5,5,350,12.5,NA,NA
"99482455903","Whole Foods","Breads & Buns",NA,"",242,"1 slice",9.09,6.1,333,9.09,NA,NA
"99482456023","Whole Foods","Breads & Buns",NA,"",224,"1 BUN",5.26,5.3,434,10.53,NA,NA
"99482461133","Whole Foods","Cereal","Greek style yogurt","",385,"1 Cup",21.54,7.7,108,16.92,NA,NA
"99482461157","Whole Foods","Cereal","365 everyday value, instant hot cereal, multigrain & chia triple berry","",385,"1 cup",15.38,12.3,108,10.77,NA,NA
"11110851987","Kroger","Cereal","Kroger, living well, multi-grain cereal, cinnamon","",375,"0.75 cup",25,6.2,422,9.38,NA,NA
"21130112395","Safeway","Breads & Buns",NA,"",286,"1 SLICE",0,3.6,643,10.71,NA,NA
"21130119325","Safeway","Breads & Buns",NA,"",267,"1 SLICE",8.89,2.2,489,11.11,NA,NA
"21130119769","Safeway","Breads & Buns",NA,"",250,"1 slice",7.5,7.5,400,10,NA,NA
"21130120147","Safeway","Breads & Buns",NA,"",267,"1 slice",6.67,0,467,6.67,NA,NA
"21130181506","Safeway","Breads & Buns",NA,"",250,"1 SLICE",17.86,3.6,321,7.14,NA,NA
"21130281305","Safeway","Cereal",NA,"",400,"0.75 cup",36.67,6.7,633,6.67,NA,NA
"85239025116","Target","Breads & Buns",NA,"",222,"1 SLICE",5.56,2.8,444,2.78,NA,NA
"85239125403","Target","Breads & Buns",NA,"",222,"1 SLICE",2.78,2.8,375,5.56,NA,NA
"99482451165","Whole Foods","Cereal","Gingerbread flavored instant oatmeal","",375,"1.41 ONZ",32.5,5,600,7.5,NA,NA
"21130083008","Safeway","Milk",NA,"",37,"12 OZA",5.08,0,59,3.67,NA,NA
"21130083022","Safeway","Milk",NA,"",59,"12 OZA",5.65,0,65,4.24,NA,NA
"21130083015","Safeway","Milk",NA,"",85,"1 CONTAINER",14.69,0,82,5.37,NA,NA
"21130083053","Safeway","Milk",NA,"",68,"12 OZA",5.08,0,56,3.39,NA,NA
"21130336135","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",152,"1 BOWL",4.35,1.6,261,5.98,NA,NA
"99482423117","Whole Foods","Milk",NA,"",38,"1 cup",5,0,56,3.75,NA,NA
"99482423131","Whole Foods","Milk",NA,"",58,"1 cup",5.42,0,62,4.17,NA,NA
"99482439903","Whole Foods","Milk",NA,"",96,"1 cup",10.83,0,100,3.33,NA,NA
"99482456184","Whole Foods","Cereal","Pumpkin spice granola with cranberries & apples, pumpkin spice","",439,"2/3 cup",26.32,7,132,8.77,NA,NA
"85239790205","Target","Snack, Energy & Granola Bars",NA,"",417,"1 BAR",33.33,4.2,62,4.17,NA,NA
"85239791202","Target","Snack, Energy & Granola Bars",NA,"",417,"1 BAR",29.17,4.2,62,8.33,NA,NA
"99482452261","Whole Foods","Canned & Bottled Beans",NA,"",69,"1/2 cup",0.77,6.2,338,4.62,NA,NA
"99482454449","Whole Foods","Snack, Energy & Granola Bars",NA,"",429,"1 BAR",28.57,5.7,257,8.57,NA,NA
"85239908204","Target","Snack, Energy & Granola Bars",NA,"",378,"1 BAR",32.43,5.4,243,5.41,NA,NA
"99482415501","Whole Foods","Milk",NA,"",46,"1 cup",5,0,52,3.33,NA,NA
"99482415518","Whole Foods","Milk",NA,"",62,"1 cup",4.58,0,50,3.33,NA,NA
"99482415525","Whole Foods","Milk",NA,"",54,"1 cup",4.58,0,50,3.33,NA,NA
"99482415549","Whole Foods","Milk",NA,"",38,"1 cup",5,0,52,3.33,NA,NA
"99482417857","Whole Foods","Milk",NA,"",42,"1 cup",5,0,50,3.33,NA,NA
"99482417833","Whole Foods","Milk",NA,"",62,"1 cup",5,0,50,3.33,NA,NA
"99482415532","Whole Foods","Milk",NA,"",46,"1 cup",5,0,52,3.33,NA,NA
"99482430535","Whole Foods","Milk",NA,"",71,"1 cup",12.08,0.4,62,3.75,NA,NA
"99482430443","Whole Foods","Milk",NA,"",6,"1 cup",4.58,0,50,3.33,NA,NA
"99482449612","Whole Foods","Breads & Buns",NA,"",256,"1 slice",2.33,2.3,465,6.98,NA,NA
"99482463267","Whole Foods","Nut & Seed Butters",NA,"",594,"2 Tbsp",3.12,6.2,312,21.88,NA,NA
"85239132494","Target","Breads & Buns",NA,"",263,"1 BUN",7.02,1.8,404,8.77,NA,NA
"21130983414","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",35,"2/3 cup",2.35,2.4,35,2.35,NA,NA
"21130702169","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",41,"3 ONZ",5.88,2.4,76,1.18,NA,NA
"21130982776","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",38,"1 CARROT 7"""""""" LONG 1 1/4"""""""" DIAMETER",5.13,2.6,71,1.28,NA,NA
"21130982790","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",38,"1 CARROT ABOUT 7"""""""" LONG 1 1/4"""""""" DIAMETER",5.13,2.6,71,1.28,NA,NA
"21130183418","Safeway","Breads & Buns",NA,"",250,"1 slice",7.5,7.5,500,10,NA,NA
"21130070275","Safeway","Milk",NA,"",92,"1 cup",14.58,0,100,4.58,NA,NA
"21130120161","Safeway","Breads & Buns",NA,"",256,"2 slices",4.65,2.3,488,9.3,NA,NA
"21130119370","Safeway","Breads & Buns",NA,"",209,"1 BUN",4.65,4.7,581,9.3,NA,NA
"85239234747","Target","Breads & Buns",NA,"",219,"1 ENGLISH MUFFIN",4.69,6.2,453,9.38,NA,NA
"21130336708","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",120,"1 cup",2,1,400,6,NA,NA
"21130287666","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",53,"2 ONZ",10.53,1.8,0,0,NA,NA
"85239530177","Target","Breads & Buns",NA,"",308,"1 BUN",7.69,1.9,481,9.62,NA,NA
"85239431030","Target","Breads & Buns",NA,"",368,"1 loaf",17.54,1.8,439,7.02,NA,NA
"85239005149","Target","Breads & Buns",NA,"",317,"1 ROLL",3.66,2.4,598,9.76,NA,NA
"21130337507","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",135,"1 BOWL",1.28,1.9,519,5.13,NA,NA
"85239005156","Target","Breads & Buns",NA,"",314,"1 bun",5.71,2.9,629,8.57,NA,NA
"21130983322","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",29,"2/3 cup",2.35,2.4,41,2.35,NA,NA
"21130983391","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",35,"2/3 cup",2.35,2.4,35,2.35,NA,NA
"21130983384","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",29,"2/3 cup",1.18,2.4,29,2.35,NA,NA
"21130983407","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",29,"2/3 cup",1.18,2.4,29,3.53,NA,NA
"21130983421","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",41,"2/3 cup",3.53,2.4,0,2.35,NA,NA
"21130984466","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",29,"1 cup",2.35,2.4,47,2.35,NA,NA
"21130984473","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",35,"1 cup",1.18,2.4,35,2.35,NA,NA
"21130984497","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",29,"1 cup",2.35,2.4,29,2.35,NA,NA
"11110807021","Kroger","Canned & Bottled Beans",NA,"",92,"1/2 cup",2.31,3.1,100,5.38,NA,NA
"21130204403","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",41,"1 cup",3.53,2.4,0,2.35,NA,NA
"85239006085","Target","Breads & Buns",NA,"",250,"2 ONZ",0,1.8,536,7.14,NA,NA
"85239006054","Target","Breads & Buns",NA,"",250,"2 ONZ",0,1.8,536,8.93,NA,NA
"99482465315","Whole Foods","Cereal","Apple streusel granola with cinnamon & spice, cinnamon & spice","",431,"2/3 cup",20.69,6.9,103,8.62,NA,NA
"21130204397","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",47,"2/3 cup",2.35,2.4,0,1.18,NA,NA
"21130984398","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",41,"2/3 cup",2.35,3.5,24,3.53,NA,NA
"99482466336","Whole Foods","Cereal",NA,"",325,"1 cup",30,7.5,400,7.5,NA,NA
"99482461232","Whole Foods","Cereal",NA,"",400,"1/3 cup",5,12.5,0,12.5,NA,NA
"99482446796","Whole Foods","Yogurt","Organic Lowfat Yogurt Vanilla","",65,"3/4 cup",9.41,0,56,3.53,NA,NA
"99482430306","Whole Foods","Milk",NA,"",62,"1 cup",10,0,83,3.33,NA,NA
"99482461140","Whole Foods","Cereal","Instant oatmeal","",385,"1 cup",20,9.2,108,10.77,NA,NA
"99482461867","Whole Foods","Cereal","Organic Old-Fashioned Rolled Oats","",375,"1/2 cup",2.5,10,0,12.5,NA,NA
"99482465773","Whole Foods","Nut & Seed Butters",NA,"",594,"2 Tbsp",6.25,9.4,0,21.88,NA,NA
"21130284528","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",24,"2/3 cup",1.18,1.2,6,2.35,NA,NA
"21130284450","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",24,"2/3 cup",0,1.2,18,3.53,NA,NA
"99482461225","Whole Foods","Cereal","Organic rip's power-up bowl original hot cereal","",400,"1/3 cup",0,7.5,0,12.5,NA,NA
"99482416621","Whole Foods","Milk",NA,"",38,"1 cup",5,0,54,3.75,NA,NA
"11110869579","Kroger","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,6.2,392,4.62,NA,NA
"85239132364","Target","Breads & Buns",NA,"",357,"1 ROLL",7.14,7.1,536,10.71,NA,NA
"21130071708","Safeway","Milk",NA,"",46,"1 cup",5,0,54,3.75,NA,NA
"99482772710","Whole Foods","Canned & Bottled Beans",NA,"",96,"1/2 cup",0.8,4.8,68,4.8,NA,NA
"99482469344","Whole Foods","Pre-Packaged Fruit & Vegetables",NA,"",29,"1 cup salad only/1 cup dressed salad with toppings (100g)",2.35,2.4,24,2.35,NA,NA
"85239132333","Target","Breads & Buns",NA,"",316,"1 ROLL",3.51,1.8,579,8.77,NA,NA
"21130183555","Safeway","Breads & Buns",NA,"",250,"1 slice",7.5,2.5,500,7.5,NA,NA
"85239007648","Target","Cereal","Far out fruities sweetened multigrain cereal, far out fruities","",395,"1 1/3 cup",34.21,2.6,474,5.26,NA,NA
"11110825063","Kroger","Snack, Energy & Granola Bars",NA,"",422,"1 BAR",46.67,8.9,144,8.89,NA,NA
"99482474683","Whole Foods","Breads & Buns",NA,"",271,"1 BAGEL",5.88,2.4,400,9.41,NA,NA
"99482474034","Whole Foods","Breads & Buns",NA,"",263,"1 roll",5.26,2.6,447,10.53,NA,NA
"99482473990","Whole Foods","Breads & Buns",NA,"",228,"1 BUN",5.26,5.3,439,10.53,NA,NA
"99482474492","Whole Foods","Breads & Buns",NA,"",250,"1 slice",5,7.5,350,12.5,NA,NA
"99482474539","Whole Foods","Breads & Buns",NA,"",242,"1 slice",9.09,6.1,333,9.09,NA,NA
"99482474478","Whole Foods","Breads & Buns",NA,"",250,"1 slice",5,2.5,375,10,NA,NA
"99482474577","Whole Foods","Breads & Buns",NA,"",264,"1 bun",3.77,1.9,472,7.55,NA,NA
"99482473921","Whole Foods","Breads & Buns",NA,"",219,"1 SLICE",6.25,6.2,422,12.5,NA,NA
"99482474041","Whole Foods","Breads & Buns",NA,"",256,"1 roll",9.3,2.3,488,9.3,NA,NA
"99482474010","Whole Foods","Breads & Buns",NA,"",226,"1 bun",3.77,5.7,415,11.32,NA,NA
"99482474072","Whole Foods","Breads & Buns",NA,"",250,"1 PITA",1.56,6.2,375,10.94,NA,NA
"99482474454","Whole Foods","Breads & Buns",NA,"",271,"1 bagel",5.88,2.4,412,9.41,NA,NA
"99482474409","Whole Foods","Breads & Buns",NA,"",264,"1 BUN",3.77,1.9,472,7.55,NA,NA
"99482474386","Whole Foods","Breads & Buns",NA,"",264,"1 BUN",3.77,1.9,472,7.55,NA,NA
"99482474508","Whole Foods","Breads & Buns",NA,"",242,"1 SLICE",9.09,6.1,333,9.09,NA,NA
"99482474461","Whole Foods","Breads & Buns",NA,"",282,"1 BAGEL",5.88,2.4,376,10.59,NA,NA
"99482474447","Whole Foods","Breads & Buns",NA,"",289,"1 roll",13.16,2.6,395,10.53,NA,NA
"99482474379","Whole Foods","Breads & Buns",NA,"",242,"1 SLICE",9.09,6.1,333,9.09,NA,NA
"99482474485","Whole Foods","Breads & Buns",NA,"",273,"1 SLICE",9.09,3,348,6.06,NA,NA
"21130702244","Safeway","Pre-Packaged Fruit & Vegetables",NA,"",29,"2/3 cup",3.53,2.4,6,2.35,NA,NA
"99482467685","Whole Foods","Milk",NA,"",54,"1 cup",4.58,0,50,3.33,NA,NA
"11110894953","Kroger","Nut & Seed Butters",NA,"",594,"2 Tbsp",6.25,6.2,312,21.88,NA,NA
"99482474393","Whole Foods","Breads & Buns",NA,"",245,"1 bun",3.77,5.7,415,11.32,NA,NA
"11110824721","Kroger","Snack, Energy & Granola Bars",NA,"",422,"1 BAR",46.67,6.7,133,6.67,NA,NA
"99482473938","Whole Foods","Breads & Buns",NA,"",219,"1 SLICE",6.25,6.2,344,12.5,NA,NA
"11110862792","Kroger","Snack, Energy & Granola Bars",NA,"",525,"1 BAR",17.5,7.5,12,10,NA,NA
"99482417802","Whole Foods","Milk",NA,"",50,"1 cup",5,0,52,3.33,NA,NA
"99482476540","Whole Foods","Yogurt","Blueberry greek whole milk yogurt fruit on bottom, blueberry","",100,"1 tub",8.67,0.7,47,8,NA,NA
"99482476533","Whole Foods","Yogurt","Strawberry greek whole milk yogurt, strawberry","",107,"1 TUB",9.33,0,30,8,NA,NA
"99482476465","Whole Foods","Yogurt",NA,"",88,"3/4 cup",2.94,0,38,9.41,NA,NA
"99482476472","Whole Foods","Yogurt","Greek Yogurt Plain","",59,"3/4 cup",2.94,0,38,9.41,NA,NA
"99482477592","Whole Foods","Milk",NA,"",50,"1 cup",4.58,0,50,3.33,NA,NA
"99482477585","Whole Foods","Milk",NA,"",42,"1 cup",4.58,0,50,3.33,NA,NA
"99482477608","Whole Foods","Milk",NA,"",62,"1 cup",4.58,0,50,3.33,NA,NA
"99482449551","Whole Foods","Breads & Buns",NA,"",264,"1 bun",3.77,1.9,434,7.55,NA,NA
"21130120932","Safeway","Cereal","Berry crunchy clusters with whole grain rolled oats and sunflower seeds, dried currants, flax seeds, dried cranberries, dried blueberries, almonds, cashews and walnuts granola, berry crunch","",436,"1/3 cup",40,0,127,7.27,NA,NA
"99482466312","Whole Foods","Cereal","Organic frosted flakes cereal, frosted","",375,"1 1/3 cup",27.5,2.5,212,5,NA,NA
"99482476854","Whole Foods","Yogurt","Plain almondmilk unsweetened non-dairy yogurt, plain almondmilk","",93,"1 container",0.67,1.3,7,3.33,NA,NA
"99482476885","Whole Foods","Yogurt","Mango almond milk","",120,"1 CONTAINER",8,1.3,7,3.33,NA,NA
"99482476878","Whole Foods","Yogurt","Strawberry almondmilk non-dairy yogurt, strawberry","",120,"1 CONTAINER",7.33,1.3,7,3.33,NA,NA
"99482476502","Whole Foods","Yogurt","Vanilla greek whole milk yogurt, vanilla","",100,"1 tub",8,0,33,8.67,NA,NA
"99482482893","Whole Foods","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,6.9,100,5.38,NA,NA
"85239045756","Target","Cereal","Organic honey nut hoops","",390,"1 1/3 cup",26.83,7.3,341,9.76,NA,NA
"99482476526","Whole Foods","Yogurt","Organic plain greek whole milk yogurt, plain","",87,"150 GRM",2.67,0,37,9.33,NA,NA
"99482479824","Whole Foods","Cereal","Organic","",375,"1 packet",30,7.5,250,7.5,NA,NA
"99482479688","Whole Foods","Cereal","Organic Instant Oatmeal Apple Cinnamon","",375,"1 PACKET",32.5,7.5,112,7.5,NA,NA
"99482479701","Whole Foods","Cereal",NA,"",375,"1 packet",30,7.5,475,7.5,NA,NA
"99482479718","Whole Foods","Cereal","Organic Instant Oatmeal Original","",375,"1 PACKET",0,10,0,12.5,NA,NA
"99482479749","Whole Foods","Cereal",NA,"",375,"1 packet",27.5,7.5,138,10,NA,NA
"99482479671","Whole Foods","Cereal","Organic Instant Oatmeal Oats & Flax","",375,"1 PACKET",25,7.5,300,10,NA,NA
"99482479756","Whole Foods","Cereal",NA,"",375,"1/4 cup",0,10,0,12.5,NA,NA
"99482479800","Whole Foods","Cereal","Oatmeal","",375,"1/2 cup",0,10,0,12.5,NA,NA
"99482479732","Whole Foods","Cereal","Organic Old-Fashioned Rolled Oats","",375,"1/2 cup",0,10,0,12.5,NA,NA
"85239051429","Target","Snack, Energy & Granola Bars",NA,"",351,"1 BAR",32.43,2.7,216,2.7,NA,NA
"99482479763","Whole Foods","Cereal",NA,"",373,"1 cup",25.42,8.5,254,10.17,NA,NA
"99482479770","Whole Foods","Cereal",NA,"",385,"1 cup",29.23,7.7,354,10.77,NA,NA
"85239051863","Target","Pre-Packaged Fruit & Vegetables",NA,"",160,"1 cup",12,3,160,3,NA,NA
"85239049006","Target","Pre-Packaged Fruit & Vegetables",NA,"",18,"2 cups",1.18,2.4,12,1.18,NA,NA
"85239049020","Target","Pre-Packaged Fruit & Vegetables",NA,"",18,"2 cups",1.18,1.2,12,1.18,NA,NA
"85239049297","Target","Pre-Packaged Fruit & Vegetables",NA,"",29,"1 cup",3.53,2.4,24,1.18,NA,NA
